"NO","名　　　　称","緯度","経度","住所","面積（�u）","面積（ha）","一時緊急　　　避難地","ブランコ _2連 ","ブランコ_3連","ブランコ_4連","スベリ台","低鉄棒_１連","低鉄棒_２連","低鉄棒_３連","低鉄棒_４連","低鉄棒_５連","シーソー","ジャングルジム","複合遊具_鋼製","砂場","ラダー","健康遊具","ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ","便所","水飲","ベンチ","四阿・ｼｪﾙﾀｰ","駐車場有料施設専用","駐車場","桜_ソメイヨシノ","桜_オオシマザクラ","桜_カンヒザクラ","桜_シダレザクラ","桜_カワズザクラ　","桜_ヤマザクラ","桜_その他","桜_合計","桜_その他品種","景色の良い公園"
"1","あおぞらひろば","34.80317213","135.7271898","枚方市尊延寺３丁目１−４７","1343.39","0.134","","","","","","","","","","","","","1","","","","","","","","","","","0","0","0","0","0","0","1","1","エドヒガン",""
"2","あかね丘公園","34.8008958","135.6331999","枚方市北中振１丁目１(府道21号線沿い)","548.17","0.055","","","","1","1","","","1","","","","","","1","","","1","","1","7","1","","","","","","","","","","","",""
"3","旭ヶ丘中央公園","34.77635257","135.6529001","枚方市東香里南町２１−１２","1930.77","0.193","","1","","","1","","","","","","","","","1","","","","","1","2","","","","1","0","0","0","0","0","0","1","",""
"4","旭ヶ丘西公園","34.77780792","135.6507224","枚方市東香里南町３１−２３","1886.19","0.189","","1","","","1","","","","","","","","","1","","","","","1","6","","","","6","0","0","0","0","0","0","6","",""
"5","旭ヶ丘東公園","34.77616526","135.655468","枚方市東香里南町５４−１１","842.63","0.084","","","","1","1","","","1","","","","","","1","","","","","","5","","","","","","","","","","","","",""
"6","あんご公園","34.80975156","135.6529164","枚方市東田宮１丁目５−１２","2743.14","0.274","","","","","","","","","","","","","1","1","","","","","1","14","","","","8","0","8","0","0","0","0","16","",""
"7","伊加賀栄公園","34.80588501","135.6353846","枚方市伊加賀栄町１０−２９","2825.96","0.283","","1","","","1","","","","","","","","","1","","","","1","","8","1","","","1","0","0","0","0","0","0","1","",""
"8","伊加賀山公園","34.79784152","135.6457699","枚方市香里ケ丘６丁目２０","4433.82","0.443","","","1","","1","","","","","","1","","","","","","","","","3","","","","28","0","0","0","0","0","0","28","",""
"9","伊加賀公園","34.81138525","135.6376873","枚方市堤町７−２","948.36","0.095","","1","","","1","","","","","1","","1","","","","","","","1","4","","","","14","0","0","0","0","0","2","16","",""
"10","池之宮西公園","34.81156769","135.6706329","枚方市池之宮２丁目２３−１３","829.02","0.083","","1","","","1","","1","","","","","","","1","","","","","1","2","","","","1","0","0","0","0","0","0","1","",""
"11","以楽公園","34.79620283","135.6484142","枚方市香里ケ丘５丁目２−８","8047.64","0.805","","","","","","","","","","","","","","","","","","","","6","","","","32","0","0","0","0","0","0","32","サトザクラ",""
"12","印田町ふれあい公園","34.80460249","135.6675873","枚方市印田町４３−１５","5700.00","0.57","","","","","","","1","","","","","","1","","","4","2","1","1","13","1","","","4","0","1","0","0","0","0","5","",""
"13","うしろ谷公園","34.84957671","135.7023107","枚方市高野道２丁目２４−１１","2962.81","0.296","","","","1","1","","","1","","","","1","","1","","","","","1","8","","","","0","0","0","0","0","0","15","15","ヤエザクラ",""
"14","宇山東公園","34.84314796","135.672897","枚方市養父丘１丁目１０−２７","2417.60","0.242","","","","","","","","","","","","","1","1","","","","","1","10","1","","","0","0","0","0","0","9","0","9","",""
"15","岡東中央公園","34.8149243","135.6500978","枚方市岡東町７−５","4932.78","0.493","","","1","","","","","","","","","","1","1","","2","","1","1","6","1","","","0","0","0","1","0","0","1","2","アマノガワ",""
"16","岡東公園","34.81422319","135.6473807","枚方市岡東町１６−１０","1907.37","0.191","","1","","","1","","","","","","","","","1","","","","","1","4","","","","3","0","0","0","0","0","0","3","",""
"17","岡本町公園","34.81503975","135.6466252","枚方市岡本町８−２０","1060.04","0.106","","","","","","","","","","","","","1","1","","","","","1","12","","","","","","","","","","","","",""
"18","小倉東公園","34.83549387","135.669184","枚方市小倉東町２６−６","557.49","0.056","","1","","","1","","","1","","","1","","","1","","","","","","2","","","","2","0","0","0","0","0","0","2","",""
"19","御茶屋御殿跡展望広場","34.81379284","135.6426304","枚方市枚方元町１−２１","1980.00","0.198","","","","","","","","","","","","","","","","","","","1","6","1","","","0","0","0","4","0","7","0","11","","○"
"20","開成公園","34.79206188","135.6565579","枚方市香里ケ丘２丁目５","3561.00","0.356","","","","","","","","","","","","","","","","","","","1","12","","","","0","0","0","0","0","0","27","27","ヤエザクラ",""
"21","甲斐田公園","34.82832211","135.6716003","枚方市交北１丁目２−１１","1150.03","0.115","","1","","","1","","","","","","","1","","","","","","","1","2","","","","3","0","0","0","0","0","0","3","",""
"22","風見の丘公園","34.80469931","135.7067307","枚方市津田山手１丁目３０−１","2501.66","0.25","","","","","","","","","","","","","","1","","","","","1","4","1","","","9","0","0","0","0","0","0","9","",""
