"id","name","name_kana","address","area","area_ha","y","x","is_evacuation_area","ブランコ_2","ブランコ_3","ブランコ_4","すべり台","鉄棒_1","鉄棒_2","鉄棒_3","鉄棒_4","鉄棒_5","シーソー","ジャングルジム","鋼製複合遊具","砂場","ラダー","健康遊具","プレイスカルプチャー(遊戯彫刻)","便所","水飲場","ベンチ","四阿(シェルター)","有料駐車場","無料駐車場","ソメイヨシノ","オオシマザクラ","カンヒザクラ","シダレザクラ","カワズザクラ","ヤマザクラ","桜_その他","桜_合計","桜_その他_品種","is_nice_scenery","english_name","english_address","",""
"001","あかね丘公園","アカネガオカコウエン","大阪府枚方市北中振1丁目1(府道21号線沿い)","548.17","0.05","34.8008958","135.6331999","","","","1","1","","","1","","","","","","1","","","1","","1","7","1","","","","","","","","","","","","","","","573-0064","オオサカフ－ヒラカタシ－キタナカブリ"
"002","旭ヶ丘中央公園","アサヒガオカチュウオウコウエン","大阪府枚方市東香里南町21−12","1,930.77","0.19","34.77635257","135.6529001","","1","","","1","","","","","","","","","1","","","","","1","2","","","","1","0","0","0","0","0","0","1","","","","","573-0074","オオサカフ－ヒラカタシ－ヒガシコウリミナミマチ"
"003","旭ヶ丘西公園","アサヒガオカニシコウエン","大阪府枚方市東香里南町31−23","1,886.19","0.19","34.77780792","135.6507224","","1","","","1","","","","","","","","","1","","","","","1","6","","","","6","0","0","0","0","0","0","6","","","","","573-0074","オオサカフ－ヒラカタシ－ヒガシコウリミナミマチ"
"004","旭ヶ丘東公園","アサヒガオカヒガシコウエン","大阪府枚方市東香里南町54−11","842.63","0.08","34.77616526","135.655468","","","","1","1","","","1","","","","","","1","","","","","","5","","","","","","","","","","","","","","","","573-0074","オオサカフ－ヒラカタシ－ヒガシコウリミナミマチ"
"005","あんご公園","アンゴコウエン","大阪府枚方市東田宮1丁目5−12","2,743.14","0.27","34.80975156","135.6529164","","","","","","","","","","","","","1","1","","","","","1","14","","","","8","0","8","0","0","0","0","16","","","","","573-0023","オオサカフ－ヒラカタシ－ヒガシタミヤ"
"006","伊加賀公園","イカガコウエン","大阪府枚方市堤町7−2","948.36","0.09","34.81138525","135.6376873","","1","","","1","","","","","1","","1","","","","","","","1","4","","","","14","0","0","0","0","0","2","16","","","","","573-0057","オオサカフ－ヒラカタシ－ツツミチョウ"
"007","伊加賀栄公園","イカガサカエコウエン","大阪府枚方市伊加賀栄町10−29","2,825.96","0.28","34.80588501","135.6353846","","1","","","1","","","","","","","","","1","","","","1","","8","1","","","1","0","0","0","0","0","0","1","","","","","573-0062","オオサカフ－ヒラカタシ－イカガサカエマチ"
"008","伊加賀西町北公園","イカガニシマチキタコウエン","大阪府枚方市伊加賀西町55−18","1,001.81","0.10","34.80704978","135.6252373","","1","","","1","","","","","","","","","1","","","","","1","6","2","","","","","","","","","","","","","","","573-0066","オオサカフ－ヒラカタシ－イカガニシマチ"
"009","伊加賀西町公園","イカガニシマチコウエン","大阪府枚方市伊加賀西町30−40","1,490.19","0.15","34.80954097","135.6298305","","","","1","1","","","","","","","","","1","","","","","1","6","2","","","7","0","0","0","0","0","1","8","","","","","573-0066","オオサカフ－ヒラカタシ－イカガニシマチ"
"010","伊加賀西町東公園","イカガニシマチヒガシコウエン","大阪府枚方市伊加賀西町71","1,000.00","0.10","34.80651338","135.6301376","","1","","","1","","","","","","","","","1","","","","","1","5","","","","","","","","","","","","","","","","573-0066","オオサカフ－ヒラカタシ－イカガニシマチ"
"011","伊加賀西町南公園","イカガニシマチミナミコウエン","大阪府枚方市伊加賀西町45−22","3,910.11","0.39","34.80489099","135.6239008","","","","1","","","","","","","","","1","1","","","","","1","7","2","","","2","0","0","0","0","0","0","2","","","","","573-0066","オオサカフ－ヒラカタシ－イカガニシマチ"
"012","伊加賀山公園","イカガヤマコウエン","大阪府枚方市香里ケ丘6丁目20","4,433.82","0.44","34.79784152","135.6457699","","","1","","1","","","","","","1","","","","","","","","","3","","","","28","0","0","0","0","0","0","28","","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"013","池之宮西公園","イケノミヤニシコウエン","大阪府枚方市池之宮2丁目23−13","829.02","0.08","34.81156769","135.6706329","","1","","","1","","1","","","","","","","1","","","","","1","2","","","","1","0","0","0","0","0","0","1","","","","","573-0005","オオサカフ－ヒラカタシ－イケノミヤ"
"014","以楽公園","イラクコウエン","大阪府枚方市香里ケ丘5丁目2−8","8,047.64","0.80","34.79620283","135.6484142","","","","","","","","","","","","","","","","","","","","6","","","","32","0","0","0","0","0","0","32","サトザクラ","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"015","印田町ふれあい公園","インダチョウフレアイコウエン","大阪府枚方市印田町43−15","5,914.95","0.59","34.80460249","135.6675873","","","","","","","1","","","","","","1","","","4","2","1","1","13","1","","","4","0","1","0","0","0","0","5","","","","","573-0017","オオサカフ－ヒラカタシ－インダチョウ"
