"id","name","y","x","address","area","area_ha","is_evacuation_area","ブランコ_2","ブランコ_3","ブランコ_4","すべり台","鉄棒_1","鉄棒_2","鉄棒_3","鉄棒_4","鉄棒_5","シーソー","ジャングルジム","複合遊具","砂場","ラダー","健康遊具","プレイスカルプチャー(遊戯彫刻)","便所","水飲場","ベンチ","四阿","有料駐車場","無料駐車場","ソメイヨシノ","オオシマザクラ","カンヒザクラ","シダレザクラ","カワズザクラ","ヤマザクラ","桜_その他","桜_合計","桜_その他_品種","is_nice_scenery"
"1","尊延寺あおぞら広場","34.80317213","135.7271898","大阪府枚方市尊延寺3丁目1−47","1343.39","0.134","","","","","","","","","","","","","1","","","","","","","","","","","0","0","0","0","0","0","1","1","エドヒガン",""
"2","あかね丘公園","34.8008958","135.6331999","大阪府枚方市北中振1丁目1(府道21号線沿い)","548.17","0.055","","","","1","1","","","1","","","","","","1","","","1","","1","7","1","","","","","","","","","","","",""
"3","旭ヶ丘中央公園","34.77635257","135.6529001","大阪府枚方市東香里南町21−12","1930.77","0.193","","1","","","1","","","","","","","","","1","","","","","1","2","","","","1","0","0","0","0","0","0","1","",""
"4","旭ヶ丘西公園","34.77780792","135.6507224","大阪府枚方市東香里南町31−23","1886.19","0.189","","1","","","1","","","","","","","","","1","","","","","1","6","","","","6","0","0","0","0","0","0","6","",""
"5","旭ヶ丘東公園","34.77616526","135.655468","大阪府枚方市東香里南町54−11","842.63","0.084","","","","1","1","","","1","","","","","","1","","","","","","5","","","","","","","","","","","","",""
"6","あんご公園","34.80975156","135.6529164","大阪府枚方市東田宮1丁目5−12","2743.14","0.274","","","","","","","","","","","","","1","1","","","","","1","14","","","","8","0","8","0","0","0","0","16","",""
"7","伊加賀栄公園","34.80588501","135.6353846","大阪府枚方市伊加賀栄町10−29","2825.96","0.283","","1","","","1","","","","","","","","","1","","","","1","","8","1","","","1","0","0","0","0","0","0","1","",""
"8","伊加賀山公園","34.79784152","135.6457699","大阪府枚方市香里ケ丘6丁目20","4433.82","0.443","","","1","","1","","","","","","1","","","","","","","","","3","","","","28","0","0","0","0","0","0","28","",""
"9","伊加賀公園","34.81138525","135.6376873","大阪府枚方市堤町7−2","948.36","0.095","","1","","","1","","","","","1","","1","","","","","","","1","4","","","","14","0","0","0","0","0","2","16","",""
"10","池之宮西公園","34.81156769","135.6706329","大阪府枚方市池之宮2丁目23−13","829.02","0.083","","1","","","1","","1","","","","","","","1","","","","","1","2","","","","1","0","0","0","0","0","0","1","",""
"11","以楽公園","34.79620283","135.6484142","大阪府枚方市香里ケ丘5丁目2−8","8047.64","0.805","","","","","","","","","","","","","","","","","","","","6","","","","32","0","0","0","0","0","0","32","サトザクラ",""
"12","印田町ふれあい公園","34.80460249","135.6675873","大阪府枚方市印田町43−15","5700.00","0.57","","","","","","","1","","","","","","1","","","4","2","1","1","13","1","","","4","0","1","0","0","0","0","5","",""
"13","うしろ谷公園","34.84957671","135.7023107","大阪府枚方市高野道2丁目24−11","2962.81","0.296","","","","1","1","","","1","","","","1","","1","","","","","1","8","","","","0","0","0","0","0","0","15","15","ヤエザクラ",""
"14","宇山東公園","34.84314796","135.672897","大阪府枚方市養父丘1丁目10−27","2417.60","0.242","","","","","","","","","","","","","1","1","","","","","1","10","1","","","0","0","0","0","0","9","0","9","",""
"15","岡東中央公園","34.8149243","135.6500978","大阪府枚方市岡東町7−5","4932.78","0.493","","","1","","","","","","","","","","1","1","","2","","1","1","6","1","","","0","0","0","1","0","0","1","2","アマノガワ",""
"16","岡東公園","34.81422319","135.6473807","大阪府枚方市岡東町16−10","1907.37","0.191","","1","","","1","","","","","","","","","1","","","","","1","4","","","","3","0","0","0","0","0","0","3","",""
"17","岡本町公園","34.81503975","135.6466252","大阪府枚方市岡本町8−20","1060.04","0.106","","","","","","","","","","","","","1","1","","","","","1","12","","","","","","","","","","","","",""
"18","小倉東公園","34.83549387","135.669184","大阪府枚方市小倉東町26−6","557.49","0.056","","1","","","1","","","1","","","1","","","1","","","","","","2","","","","2","0","0","0","0","0","0","2","",""
"19","御茶屋御殿跡展望広場公園","34.81379284","135.6426304","大阪府枚方市枚方元町1−21","1980.00","0.198","","","","","","","","","","","","","","","","","","","1","6","1","","","0","0","0","4","0","7","0","11","","○"
"20","開成公園","34.79206188","135.6565579","大阪府枚方市香里ケ丘2丁目5","3561.00","0.356","","","","","","","","","","","","","","","","","","","1","12","","","","0","0","0","0","0","0","27","27","ヤエザクラ",""
"21","甲斐田公園","34.82832211","135.6716003","大阪府枚方市交北1丁目2−11","1150.03","0.115","","1","","","1","","","","","","","1","","","","","","","1","2","","","","3","0","0","0","0","0","0","3","",""
"22","風見の丘公園","34.80469931","135.7067307","大阪府枚方市津田山手1丁目30−1","2501.66","0.25","","","","","","","","","","","","","","1","","","","","1","4","1","","","9","0","0","0","0","0","0","9","",""
"23","春日野公園","34.80925367","135.6897852","大阪府枚方市春日野2丁目3−25","693.41","0.069","","","","","","","","","","","","","","","","","","","1","3","1","","","7","0","0","0","0","0","0","7","",""
"24","春日元町公園","34.80263659","135.6881298","大阪府枚方市春日元町1丁目20−5","2569.12","0.257","","","","1","1","","","1","","","","","2","1","","1","","","1","5","2","","","9","0","0","0","0","0","0","9","",""
"25","春日公園","34.78041053","135.6601077","大阪府枚方市高田2丁目25−45","3436.39","0.344","","","","","1","","","","","","","","2","","","","","","1","8","","","","32","0","0","0","0","0","0","32","",""
"26","片鉾東公園","34.83427296","135.6765658","大阪府枚方市片鉾東町32−3","884.49","0.088","","1","","","1","","1","","","","","","","","","","","","1","6","","","","1","0","0","0","0","0","0","1","",""
"27","金崎公園","34.85725616","135.6876175","大阪府枚方市楠葉朝日1丁目17−17","1024.71","0.102","","1","","","1","","","","","","","","","1","","","","","1","4","","","","","","","","","","","","",""
